,Year,Investment in GDP
0,2000,2.498
1,2001,2.675
2,2002,2.75
3,2003,2.645
4,2004,2.589
5,2005,2.625
6,2006,2.7559
7,2007,2.8503
8,2008,3.23
9,2009,3.45
10,2010,3.512
11,2011,3.78
12,2012,4.35
13,2013,4.02
14,2014,4.06
15,2015,4.25
16,2016,4.19
17,2017,4.14
